country,Meals,Drinks,Groceries,Fruits and Vegetables,Market Items,Cigarettes,Transport,Utilities,Entertainment and Education,Clothing and Shoes,Housing,Mortgage,Total Cost of Living
Faroe Islands,0.20200416056493103,0.03267097862051883,0.05324446526531394,0.021982629565671496,0.03006406421689753,0.009733654725953583,91.29779914069759,0.23510492777631709,1.3880480513508586,0.42946096513819165,6.298833627744389,0.0010533343333550928,70965.12250000001
Fiji,0.09219418852602736,0.02466341349103917,0.049575533672744275,0.023412971518524298,0.027447546722660674,0.015737606703805945,79.02035401739373,0.16304796128907995,13.659503407350748,0.33218232798029024,6.5799016530842875,0.011979372267076167,48249.60666666667
Finland,0.14952566695913472,0.032367658850769206,0.059011322449230776,0.02102823260679379,0.027749246579263392,0.01359711974585328,78.69672094667371,0.23839105328574856,8.1895156447054,0.42925367028208733,12.140821582752261,0.0020178551097500205,66866.01296296297
France,0.14962643108275123,0.034795210745926806,0.08534862168846301,0.030524287294942862,0.022879215898355693,0.019746723661901607,68.41922083989381,0.3572299605783871,11.052214579182465,0.5872685331448478,19.238821567379453,0.002324029448702622,44091.105044247786
French Guiana,0.599968025271283,0.10966207210703018,0.5329657042916032,0.24527348435367263,0.10990308765012255,0.05077394107812679,0.13906596836429982,2.1333089104249665,15.656851710366803,2.454984321938922,77.95438861185491,0.012854162298259949,12447.33
French Polynesia,0.11107249336932759,0.023733084126729687,0.06721607742185681,0.03893276912397673,0.031533468420130356,0.021769157584774202,70.92462076509322,0.3984004786448575,1.3403660344160147,0.44576983361807954,26.596585838181024,0.0,72304.13
Gabon,0.11370776276844745,0.009130595329679253,0.029642583907516836,0.01890882590948692,0.009693294809299022,0.002134011234029686,57.48792691107075,0.18497949119651358,4.058178030046453,0.2610819415722588,37.80179006383135,0.022826488324198136,94188.82
Gambia,0.3296789516561307,0.09510533814457331,0.23046729204964836,0.1111639881473964,0.08696602238971778,0.01774517488896433,31.06234202578036,1.9295311240835018,5.91346954099392,1.277212628991656,58.86932438546333,0.07699352741079567,6818.755
Georgia,0.10586803006536831,0.01898135094398412,0.05856626093978487,0.01948772244680287,0.020976515308383733,0.006640440665706905,85.91777212063442,0.21745472273143215,8.552981574535808,0.7143961933719366,4.337150757924434,0.02972431043192913,41224.67375
Germany,0.1220909578692009,0.02642493705971106,0.06323835490719419,0.01872996273220999,0.0128119405445452,0.012350419048658896,72.21340015912912,0.4600381856184668,12.266154331245097,0.5058260258054365,14.296062722130372,0.002872003909983686,57661.98353741497
